Delegacia_Orgaos,Delegadotitular_Diretor
"ICCE - Posto Brás de Pina  Av. Brás de Pina, 115",Jorge Airton Pereira de Resende
"ICCE - Posto Cabo Frio  Rua Teixeira e Souza, s/nº.",Alberto Rodrigues Ferreira
"ICCE - Posto Nova Iguaçu  Rua Capitão Gaspar Soares, 301",Angelo Silvares Gonçalves
"ICCE - Posto Resende  Rua Rita Ferreira da Rocha, s/nº.",Flávia Gonçalves Medeiros
"ICCE - Posto São Cristóvão  Av Francisco Bicalho, 250",Sérgio William Silva Miana
"ICCE - Posto Teresópolis  Av. Alberto Torres, 531",Marcos Teixeira Correa
"ICCE - Posto Três Rios  Av.Castro  Alves, 120",Yuri Rodrigues de Santa Rosa
"IIFP  Rua Frei Caneca, 505",Márcio Pereira de Carvalho
"IMLAP  Av. Francisco Bicalho, 300, Leopoldina - Rio",Reginaldo Franklin Pereira
"IMLAP - Angra dos Reis  Rua Dr. Coutinho, 6 - Bracuí",Ari Pereira Molinari
IMLAP - Campo Grande,Rudolph Bruno Anastácio
"IMLAP - Duque de Caxias   Rua Hilton Costa, s/nº.",Carlos Alberto Simões
"IMLAP - Petrópolis  Rua Vigário Corrêa, 1345",Mary Laura Garnica Perez
"IMLAP - Três Rios  Rua Fortaleza, 117",Sonia Ladernayder
"IPPGF  Rua Marques de Pombal, 150",Rodrigo Grazinoli Garrido
"PRPTC - Angra dos Reis  Rua Dr. Coutinho, 6",Regina Célia Barreira
"PRPTC  Araruama  Av. Bernardo de Vasconcelos, 755 - Centro - Araruama",Kesley Couto de Castro
"PRPTC  Barra do Piraí   Rodovia Lúcio Meira BR 393, Km 247, nº 47.100 -  Coimbra",Rogério Arving Serra
"PRPTC - Cabo Frio  Rua Teixeira e Souza, s/n",Antonio Feliciano Neto
"PRPTC  Campo Grande  Estrada do Mendanha, 1672",Luiz Carlos Leal Prestes Junior
"PRPTC - Campos dos Goytacazes  Rua Quinze de Novembro, 799 - Caju",Carlos Frederico Ozório Nunes
"PRPTC  Duque de Caxias  Rua Ailton da Costa, s/n - 25 de Agosto",Tomilis Ribeiro da Silva
"PRPTC - Itaboraí  Rua Salvador de Mendonça, 284 - Centro",Enilson Max Marins
"PRPTC - Itaperuna  Rodovia BR 356, KM 3 - Cidade Nova",Frederico Weller dos Santos
"PRPTC - Macaé  Rua Aloisio de Silva Gomes, 100 - Granja dos Cavaleiros",Alexandre Coe Guimarães Rosa
"PRPTC - Niterói  Tv. Cte Garcia D Avila, 51 - Barreto",José Carlos Brasil Junior
"PRPTC - Nova Friburgo  Av. Presidente Costa e Silva, s/nº.",Clauber Leonel DAvila Canastra
"PRPTC - Nova Iguaçu  SPC: Rua Capitão Gaspar Soares, 301 / SML: Rua Edna s/nº, Posse  Nova Iguaçu",Angelo Silvares Gonçalves
"PRPTC - Petrópolis  Rua Vigário Correas, 1345",Mary Laura Garnica Perez
"PRPTC-  Posto Resende  Rua Rita Ferreira da Rocha, s/n",Claudio Godinho Novaes
"PRPTC - Santo Antônio de Pádua  Est, Pádua Monte Alegre, KM2 - Divinéia",Enderson de Souza Ferraz
"PRPTC - São Gonçalo  Rua Cap. Juvenal Figueiredo, 3381 - Tribobó",Alexandre José de Oliveira Pinheiro
"PRPTC - Teresópolis  Av. Alberto Torres, 531",Robson Correa Santos
"PRPTC - Três Rios  Rua Fortaleza, 117 - Vila Isabel",Yuri Rodrigues de Santa Rosa
"PRPTC - Volta Redonda  Av. Professor Paulo Erlei Abrantes, 1325 A, KM 3 - Três Poços",Ivan Raphael Ferreira Jordão
