Delegacia_Orgaos,Delegadotitular_Diretor,TipoTabela
"DRF  Av. D. Helder Câmara, 2.066",Hilton Pinho Alonso,DGPE - Departamento Geral de Polícia Especializada
DRFA    Av. Dom Hélder Câmara nº 2066,Alesandro Petralanda Santos,DGPE - Departamento Geral de Polícia Especializada
DRFC  Av. Dom Hélder Câmara nº 2066,Mauricio Mendonça de Carvalho,DGPE - Departamento Geral de Polícia Especializada
"DS - Delegacia Supervisora  Rua da Relação, 42, Térreo Centro - Rio",Luiz Carlos Tucher,DGPE - Departamento Geral de Polícia Especializada
"1ª CRP - Grande Niterói  Rua São João, 370 - Centro",Armando Marcio Zuccarelli,CRPI - Coordenadoria Regional de Polícia do Interior
"2ª CRP - Serrana  Praça Prefeito Feliciano Costa, 1 - Nova Friburgo",Henrique Oliveira Vianna,CRPI - Coordenadoria Regional de Polícia do Interior
"3ª CRP - Região dos Lagos  Av. Bernardos Vasconcelos, 555 - Araruama",Tércia Amoêdo Silveira,CRPI - Coordenadoria Regional de Polícia do Interior
"4ª CRP - Macaé  Rua Barão de Miracema, 231",Jose Geraldo de Souza Araujo,CRPI - Coordenadoria Regional de Polícia do Interior
"5ª CRP - Norte  Rua Cel. Luiz Ferraz, 307",Antônio das Graças Francisco Ragozo,CRPI - Coordenadoria Regional de Polícia do Interior
"6ª CRP - Sul Fluminense e Costa Verde  Rua Pinto Ribeiro, 330- Barra Mansa",Wilson Raimundo de Melo,CRPI - Coordenadoria Regional de Polícia do Interior
"ACADEPOL  Rua Frei Caneca, 163 - Centro",Carolina Salomão Albuquerque,Orgãos
"ANL - Assist. de Normas e Legislação  Rua da Relação, 42 - 11º Andar - Centro",Fernando Vila Pouca de Souza,Orgãos
"ASPLAN - Assessoria Geral de Planejamento e Controle  Rua da Relação, 42 - 10º",Fabíola Martire Machado Willis Fernandez,Orgãos
"ASSEJUR - Assessoria Jurídica   Rua da Relação, 42 - 10º",João Batista Byron,Orgãos
